[2025-02-12_16-45-10-217] Confidence: 0.90 | Text: hello | Audio: audio_logs/speech_2025-02-12_16-45-10-217.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
[2025-02-12_16-45-15-230] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-45-15-230.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
[2025-02-12_16-45-20-244] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-45-20-244.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
[2025-02-12_16-45-44-358] Confidence: 0.90 | Text: hello | Audio: audio_logs/speech_2025-02-12_16-45-44-358.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
[2025-02-12_16-45-49-371] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-45-49-371.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
[2025-02-12_16-46-10-896] Confidence: 0.90 | Text: hello | Audio: audio_logs/speech_2025-02-12_16-46-10-896.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
[2025-02-12_16-46-15-909] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-46-15-909.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
[2025-02-12_16-46-20-922] Confidence: 0.90 | Text: play next episode | Audio: audio_logs/speech_2025-02-12_16-46-20-922.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
[2025-02-12_16-46-25-957] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-46-25-957.wav | Frequencies: [np.float64(1.0079647212347567), np.float64(1.0079647212347567), np.float64(1.0799622013229537), np.float64(1.0799622013229537), np.float64(1.1519596814111506), np.float64(1.1519596814111506), np.float64(1.2239571614993474), np.float64(1.2239571614993474), np.float64(1.2959546415875445), np.float64(1.2959546415875445)] | Type: Infrasound Detected
[2025-02-12_16-46-30-971] Confidence: 0.90 | Text: what is cat Noir | Audio: audio_logs/speech_2025-02-12_16-46-30-971.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
[2025-02-12_16-53-25-344] Confidence: 0.90 | Text: hello | Audio: audio_logs/speech_2025-02-12_16-53-25-344.wav | Frequencies: [np.float64(0.28932569031301425), np.float64(3.978228241803946), np.float64(171.2084772427262), np.float64(18.444512757454657), np.float64(43.47118496953039), np.float64(174.82504837163887), np.float64(215.1136507477261), np.float64(218.94721614437353), np.float64(224.37207283774256), np.float64(87.08703278421729)] | Type: Normal Sound Range
