[2025-02-12_16-24-45-674] Confidence: 0.90 | Text: hello | Audio: audio_logs/speech_2025-02-12_16-24-45-674.wav | Frequencies: [np.float64(1.0592256067790438), np.float64(1.125427207202734), np.float64(1.1916288076264243), np.float64(1.2578304080501144), np.float64(1.3240320084738046), np.float64(1.390233608897495), np.float64(1.4564352093211852), np.float64(1.5226368097448755), np.float64(1.5888384101685658), np.float64(1.6550400105922558)] | Type: Infrasound Detected
[2025-02-12_16-24-50-709] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-24-50-709.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.3742846034917677), np.float64(1.4466153720965977), np.float64(1.5189461407014275), np.float64(1.5912769093062575), np.float64(1.6636076779110873)] | Type: Infrasound Detected
[2025-02-12_16-24-55-722] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-24-55-722.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.3742846034917677), np.float64(1.4466153720965977), np.float64(1.5189461407014275), np.float64(1.5912769093062575), np.float64(1.6636076779110873)] | Type: Infrasound Detected
[2025-02-12_16-25-00-735] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-25-00-735.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.3742846034917677), np.float64(1.4466153720965977), np.float64(1.5189461407014275), np.float64(1.5912769093062575), np.float64(1.6636076779110873)] | Type: Infrasound Detected
[2025-02-12_16-26-17-859] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-26-17-859.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.3742846034917677), np.float64(1.4466153720965977), np.float64(1.5189461407014275), np.float64(1.5912769093062575), np.float64(1.6636076779110873)] | Type: Infrasound Detected
[2025-02-12_16-26-22-872] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-26-22-872.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.3742846034917677), np.float64(1.4466153720965977), np.float64(1.5189461407014275), np.float64(1.5912769093062575), np.float64(1.6636076779110873)] | Type: Infrasound Detected
[2025-02-12_16-26-27-885] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-26-27-885.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.3742846034917677), np.float64(1.4466153720965977), np.float64(1.5189461407014275), np.float64(1.5912769093062575), np.float64(1.6636076779110873)] | Type: Infrasound Detected
[2025-02-12_16-26-32-899] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-26-32-899.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.3742846034917677), np.float64(1.4466153720965977), np.float64(1.5189461407014275), np.float64(1.5912769093062575), np.float64(1.6636076779110873)] | Type: Infrasound Detected
[2025-02-12_16-26-37-912] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-26-37-912.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.3742846034917677), np.float64(1.4466153720965977), np.float64(1.5189461407014275), np.float64(1.5912769093062575), np.float64(1.6636076779110873)] | Type: Infrasound Detected
[2025-02-12_16-26-42-926] Confidence: 0.90 | Text: hello | Audio: audio_logs/speech_2025-02-12_16-26-42-926.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.3742846034917677), np.float64(1.4466153720965977), np.float64(1.5189461407014275), np.float64(1.5912769093062575), np.float64(1.6636076779110873)] | Type: Infrasound Detected
[2025-02-12_16-26-47-939] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-26-47-939.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.3742846034917677), np.float64(1.4466153720965977), np.float64(1.5189461407014275), np.float64(1.5912769093062575), np.float64(1.6636076779110873)] | Type: Infrasound Detected
[2025-02-12_16-26-52-953] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-26-52-953.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.3742846034917677), np.float64(1.4466153720965977), np.float64(1.5189461407014275), np.float64(1.5912769093062575), np.float64(1.6636076779110873)] | Type: Infrasound Detected
[2025-02-12_16-26-57-966] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-26-57-966.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.3742846034917677), np.float64(1.4466153720965977), np.float64(1.5189461407014275), np.float64(1.5912769093062575), np.float64(1.6636076779110873)] | Type: Infrasound Detected
[2025-02-12_16-27-03-001] Confidence: 0.90 | Text: play music | Audio: audio_logs/speech_2025-02-12_16-27-03-001.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.3742846034917677), np.float64(1.4466153720965977), np.float64(1.5189461407014275), np.float64(1.5912769093062575), np.float64(1.6636076779110873)] | Type: Infrasound Detected
[2025-02-12_16-27-08-015] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-27-08-015.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.3742846034917677), np.float64(1.4466153720965977), np.float64(1.5189461407014275), np.float64(1.5912769093062575), np.float64(1.6636076779110873)] | Type: Infrasound Detected
[2025-02-12_16-27-13-028] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-27-13-028.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.3742846034917677), np.float64(1.4466153720965977), np.float64(1.5189461407014275), np.float64(1.5912769093062575), np.float64(1.6636076779110873)] | Type: Infrasound Detected
[2025-02-12_16-27-18-042] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-27-18-042.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.3742846034917677), np.float64(1.4466153720965977), np.float64(1.5189461407014275), np.float64(1.5912769093062575), np.float64(1.6636076779110873)] | Type: Infrasound Detected
[2025-02-12_16-27-23-059] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-27-23-059.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.3742846034917677), np.float64(1.4466153720965977), np.float64(1.5189461407014275), np.float64(1.5912769093062575), np.float64(1.6636076779110873)] | Type: Infrasound Detected
[2025-02-12_16-27-28-068] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-27-28-068.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.3742846034917677), np.float64(1.4466153720965977), np.float64(1.5189461407014275), np.float64(1.5912769093062575), np.float64(1.6636076779110873)] | Type: Infrasound Detected
[2025-02-12_16-27-33-082] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-27-33-082.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.3742846034917677), np.float64(1.4466153720965977), np.float64(1.5189461407014275), np.float64(1.5912769093062575), np.float64(1.6636076779110873)] | Type: Infrasound Detected
[2025-02-12_16-27-38-097] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-27-38-097.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.3742846034917677), np.float64(1.4466153720965977), np.float64(1.5189461407014275), np.float64(1.5912769093062575), np.float64(1.6636076779110873)] | Type: Infrasound Detected
[2025-02-12_16-27-43-109] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-27-43-109.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.3742846034917677), np.float64(1.4466153720965977), np.float64(1.5189461407014275), np.float64(1.5912769093062575), np.float64(1.6636076779110873)] | Type: Infrasound Detected
[2025-02-12_16-27-48-122] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-27-48-122.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.3742846034917677), np.float64(1.4466153720965977), np.float64(1.5189461407014275), np.float64(1.5912769093062575), np.float64(1.6636076779110873)] | Type: Infrasound Detected
[2025-02-12_16-27-53-157] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-27-53-157.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.3742846034917677), np.float64(1.4466153720965977), np.float64(1.5189461407014275), np.float64(1.5912769093062575), np.float64(1.6636076779110873)] | Type: Infrasound Detected
[2025-02-12_16-27-58-171] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-27-58-171.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.3742846034917677), np.float64(1.4466153720965977), np.float64(1.5189461407014275), np.float64(1.5912769093062575), np.float64(1.6636076779110873)] | Type: Infrasound Detected
