[2025-02-12_16-33-11-598] Confidence: 0.90 | Text: hello | Audio: audio_logs/speech_2025-02-12_16-33-11-598.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
[2025-02-12_16-33-16-611] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-33-16-611.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
[2025-02-12_16-33-21-624] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-33-21-624.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
[2025-02-12_16-33-26-637] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-33-26-637.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
[2025-02-12_16-33-31-650] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-33-31-650.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
[2025-02-12_16-33-36-665] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-33-36-665.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
[2025-02-12_16-33-41-677] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-33-41-677.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
[2025-02-12_16-33-46-691] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-33-46-691.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
[2025-02-12_16-33-51-704] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-33-51-704.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
[2025-02-12_16-33-56-739] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-33-56-739.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
[2025-02-12_16-34-01-753] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-34-01-753.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
[2025-02-12_16-34-06-766] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-34-06-766.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
