[2025-02-12_16-31-55-671] Confidence: 0.90 | Text: hello | Audio: audio_logs/speech_2025-02-12_16-31-55-671.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
[2025-02-12_16-32-00-683] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-32-00-683.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
[2025-02-12_16-32-05-696] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-32-05-696.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
[2025-02-12_16-32-10-710] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-32-10-710.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
[2025-02-12_16-32-15-723] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-32-15-723.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
[2025-02-12_16-32-20-737] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-32-20-737.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
[2025-02-12_16-32-25-750] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-32-25-750.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
[2025-02-12_16-32-30-763] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-32-30-763.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
[2025-02-12_16-32-35-777] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-32-35-777.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
[2025-02-12_16-32-40-812] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-32-40-812.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
[2025-02-12_16-32-45-825] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-32-45-825.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
[2025-02-12_16-32-50-839] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-32-50-839.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
